Id,Magazine url
563,https://mags.clubeami.com.br/563
561,https://mags.clubeami.com.br/561
560,https://mags.clubeami.com.br/560
539,https://mags.clubeami.com.br/539/
520,https://mags.clubeami.com.br/520a/
518,https://mags.clubeami.com.br/518/
517,https://mags.clubeami.com.br/517/
494,https://mags.clubeami.com.br/494/
493,https://mags.clubeami.com.br/493/
473,https://mags.clubeami.com.br/473/
472,https://mags.clubeami.com.br/472/
471,https://mags.clubeami.com.br/471/
451,https://mags.clubeami.com.br/451
422,https://mags.clubeami.com.br/422a
415,https://mags.clubeami.com.br/415
390,https://mags.clubeami.com.br/390
389,https://mags.clubeami.com.br/389
378,https://mags.clubeami.com.br/378/
376,https://mags.clubeami.com.br/376_1/
375,https://mags.clubeami.com.br/375/
360,https://mags.clubeami.com.br/360/
359,https://mags.clubeami.com.br/359/
309,https://mags.clubeami.com.br/309/
299,https://mags.clubeami.com.br/299/
289,https://mags.clubeami.com.br/289/
268,https://mags.clubeami.com.br/268/
242,https://mags.clubeami.com.br/242/
218,https://mags.clubeami.com.br/218/
191,https://online.flippingbook.com/view/330821/
173,https://online.flippingbook.com/view/788941/
161,https://online.flippingbook.com/view/380718/
160,https://online.flippingbook.com/view/583783/
128,https://online.flippingbook.com/view/375284/
115,https://online.flippingbook.com/view/537619/
103,https://online.flippingbook.com/view/602467/
93,https://online.flippingbook.com/view/662480/
92,https://online.flippingbook.com/view/215428/
81,https://online.flippingbook.com/view/552872/
54,https://online.flippingbook.com/view/216649/
42,https://online.flippingbook.com/view/913807/
39,https://online.flippingbook.com/view/107127/
14,https://online.flippingbook.com/view/87377/